Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
J&KBANK,-1.25%,36.02%,1.87%,36.62%,11.84%,17.87%,59.4,8.35,6,26.25
CHOICEIN,1.10%,3.38%,21.23%,26.76%,21.27%,24.34%,53.65,11.41,0.35,34.59
SOBHA,110.77%,486.79%,60.23%,125.04%,30.41%,92.79%,52.88,6.23,26.1,14.79
NIVABUPA,35.66%,493.80%,29.10%,67.47%,0.00%,160.87%,55.36,10.6,16.45,17.59
CCL,16.55%,14.22%,46.49%,12.43%,17.03%,24.10%,46.11,11.24,21.43,21.22
ZENTEC,0.15%,-13.11%,-45.20%,-57.24%,121.36%,131.14%,48.51,5.99,10.06,35.44
USHAMART,6.78%,46.24%,9.28%,55.79%,7.72%,-4.20%,40.52,14.76,14.63,30.09
APTUS,3.75%,10.48%,18.66%,26.05%,28.22%,22.77%,23.87,30.34,29.43,16.36
THELEELA,5.90%,12.79%,14.06%,44.73%,11.02%,2340.62%,75.91,8.62,10.51,4.96
SPLPETRO,25.49%,457.35%,3.12%,57.21%,14.66%,12.71%,64.24,3.68,4.24,27.84
FIVESTAR,0.23%,-2.80%,8.60%,-3.53%,30.46%,28.30%,18.61,48.47,17.58,15.34
CANHLIFE,6.75%,25.61%,52.63%,18.45%,0.00%,-98.97%,62,5.67,29.79,2.54
CEATLTD,1.49%,58.16%,23.34%,155.67%,10.67%,-25.80%,47.29,16.54,20.9,15.27
JPPOWER,19.98%,-454.64%,3.39%,-108.59%,-19.23%,-20.39%,24,6.58,17.03,52.39
GRAVITA,15.31%,-5.83%,13.08%,-3.28%,22.40%,29.15%,55.88,13.94,5.14,25.04
INDGN,6.51%,-22.55%,32.80%,-32.23%,9.64%,20.79%,,10.27,8.29,81.44
INDIACEM,10.27%,2328.46%,2.60%,141.97%,-16.99%,46.05%,75,3.48,12.9,8.62
INDIAMART,0.67%,-69.00%,13.86%,-67.19%,16.01%,64.90%,49.12,19.17,13.54,18.17
ELECON,35.14%,-91.67%,-6.51%,-95.83%,14.94%,16.74%,59.27,7.13,5.67,27.93
HOMEFIRST,3.98%,6.59%,20.92%,42.75%,34.51%,24.97%,6.99,45.72,27.5,19.79
UTIAMC,-24.53%,-137.33%,3.82%,-150.44%,6.57%,1.36%,,7.11,60.07,32.82
VIJAYA,6.91%,11.00%,26.63%,37.49%,24.39%,20.19%,52.51,13.38,29.93,4.18
PCBL,11.94%,1891.09%,-1.03%,-59.86%,30.91%,-11.49%,53.38,5.56,10.99,30.07
ZENSARTECH,1.38%,5.41%,6.73%,19.39%,7.73%,-2.29%,49,10.51,23.66,16.83
IEX,19.65%,9.08%,22.53%,11.06%,19.62%,22.35%,,14.16,30.26,55.58
NUVOCO,22.41%,185.21%,8.69%,-14.94%,-3.51%,-85.18%,72.02,4.88,18.35,4.75
CANFINHOME,0.08%,30.55%,7.52%,47.77%,10.08%,14.18%,29.99,13.37,24.61,32.03
MGL,-0.40%,-34.99%,4.95%,-45.83%,15.48%,-19.01%,32.5,24.13,21.01,22.36
